r,φ,J_t_ABSkerr,J_r_ABSkerr,J_φ_ABSkerr,J_t_SCATTkerr,J_r_SCATTkerr,J_φ_SCATTkerr
10.0,-3.141592653589793,-0.0349489692275312,-0.02613177476055157,0.0,-0.3573825528803535,0.12437443022991866,-5.551115123125783e-16
10.0,-2.6179938779914944,-0.03922444203638413,-0.029879940692451423,-0.018973047071099855,-0.4424588537636022,0.14591269208629026,-2.045683342672165
10.0,-2.0943951023931957,-0.055179704758210144,-0.04434701658246324,-0.050275745025969404,-0.6096579731151685,0.12638271973407222,-4.117074000348904
10.0,-1.5707963267948966,-0.0948061176141654,-0.0823970639579663,-0.11554873939680037,-0.6944837820271048,-2.7755575615628914e-17,-5.118582208208817
10.0,-1.0471975511965979,-0.1813893667087034,-0.17083313102187453,-0.23301209734483969,-0.6096579731151686,-0.12638271973407222,-4.117074000348904
10.0,-0.5235987755982991,-0.31212145762776083,-0.31092863884314514,-0.27854004797362747,-0.4424588537636024,-0.1459126920862903,-2.045683342672166
10.0,0.0,-0.3835185934688046,-0.3894962524652359,0.0,-0.35738255288035353,-0.12437443022991865,0.0
10.0,0.5235987755982987,-0.31212145762776095,-0.31092863884314526,0.27854004797362736,-0.4424588537636022,-0.1459126920862903,2.045683342672164
10.0,1.0471975511965974,-0.1813893667087035,-0.1708331310218746,0.2330120973448398,-0.6096579731151685,-0.12638271973407228,4.117074000348903
10.0,1.5707963267948966,-0.0948061176141654,-0.0823970639579663,0.11554873939680037,-0.6944837820271049,-2.42861286636753e-17,5.118582208208817
10.0,2.094395102393195,-0.055179704758210185,-0.044347016582463275,0.050275745025969466,-0.6096579731151688,0.1263827197340721,4.1170740003489055
10.0,2.617993877991494,-0.03922444203638413,-0.029879940692451434,0.01897304707109987,-0.4424588537636024,0.1459126920862903,2.045683342672166
10.0,3.141592653589793,-0.0349489692275312,-0.02613177476055157,0.0,-0.3573825528803535,0.12437443022991863,5.551115123125783e-16
9.5,-3.141592653589793,-0.036967446897165274,-0.02811251901837165,-6.938893903907228e-18,-0.3427994557622875,0.11332826473289426,-1.6653345369377348e-16
9.5,-2.6179938779914944,-0.04154537439500856,-0.03218492060656114,-0.021303136682982858,-0.42887265157212906,0.13576502389551776,-1.9332153072400535
9.5,-2.0943951023931957,-0.05863696570704997,-0.047907034105828666,-0.0565003517046553,-0.6016938557380717,0.1210835133690894,-3.9383205176290685
9.5,-1.5707963267948966,-0.10101341958001495,-0.08916214797334576,-0.1297131658629813,-0.6904086936362701,-2.7755575615628914e-17,-4.918924807685649
9.5,-1.0471975511965979,-0.1926210582694739,-0.1839457182268316,-0.25929856613539165,-0.6016938557380718,-0.12108351336908932,-3.9383205176290694
9.5,-0.5235987755982991,-0.3274141075075988,-0.3302570836179618,-0.3041997801839953,-0.42887265157212917,-0.13576502389551778,-1.9332153072400549
9.5,0.0,-0.3990633366014612,-0.4102004589418499,0.0,-0.34279945576228754,-0.11332826473289427,0.0
9.5,0.5235987755982987,-0.3274141075075989,-0.3302570836179619,0.30419978018399524,-0.42887265157212906,-0.13576502389551773,1.9332153072400535
9.5,1.0471975511965974,-0.192621058269474,-0.18394571822683176,0.2592985661353918,-0.6016938557380715,-0.12108351336908942,3.9383205176290685
9.5,1.5707963267948966,-0.10101341958001495,-0.08916214797334576,0.1297131658629813,-0.6904086936362701,-2.6020852139652106e-17,4.918924807685649
9.5,2.094395102393195,-0.05863696570705002,-0.047907034105828694,0.056500351704655394,-0.601693855738072,0.12108351336908924,3.938320517629072
9.5,2.617993877991494,-0.041545374395008564,-0.032184920606561154,0.02130313668298288,-0.42887265157212917,0.13576502389551778,1.933215307240055
9.5,3.141592653589793,-0.036967446897165274,-0.02811251901837165,6.938893903907228e-18,-0.3427994557622875,0.11332826473289426,1.6653345369377348e-16
9.0,-3.141592653589793,-0.03928431648868125,-0.030424347481456872,-1.3877787807814457e-17,-0.32733304855009177,0.10148671886706732,-3.3306690738754696e-16
9.0,-2.6179938779914944,-0.04421721754062276,-0.034882791570327726,-0.02413051774625556,-0.4140594903191831,0.12450278117044572,-1.8181692494187254
9.0,-2.0943951023931957,-0.06264169407672987,-0.05209880022735433,-0.06405424419813902,-0.5924579504961026,0.1148298103730568,-3.7551743179460857
9.0,-1.5707963267948966,-0.1082169980593487,-0.09714144179086234,-0.14681332248882,-0.6852888546983813,-5.551115123125783e-17,-4.714465232518348
9.0,-1.0471975511965979,-0.2054504532677397,-0.19919255343911493,-0.29033186589469984,-0.5924579504961027,-0.11482981037305677,-3.7551743179460866
9.0,-0.5235987755982991,-0.344203344278953,-0.35201838689741854,-0.33317669344252937,-0.4140594903191832,-0.12450278117044575,-1.8181692494187263
9.0,0.0,-0.4156832082820125,-0.43307966916272833,0.0,-0.3273330485500917,-0.10148671886706732,0.0
9.0,0.5235987755982987,-0.3442033442789531,-0.3520183868974187,0.3331766934425293,-0.41405949031918304,-0.12450278117044572,1.8181692494187245
9.0,1.0471975511965974,-0.2054504532677398,-0.19919255343911507,0.2903318658946999,-0.5924579504961025,-0.11482981037305684,3.755174317946085
9.0,1.5707963267948966,-0.1082169980593487,-0.09714144179086234,0.14681332248882,-0.6852888546983813,-6.765421556309548e-17,4.714465232518348
9.0,2.094395102393195,-0.06264169407672991,-0.05209880022735437,0.0640542441981391,-0.5924579504961028,0.11482981037305669,3.755174317946089
9.0,2.617993877991494,-0.044217217540622765,-0.03488279157032773,0.02413051774625559,-0.4140594903191832,0.12450278117044572,1.818169249418727
9.0,3.141592653589793,-0.03928431648868125,-0.030424347481456872,1.3877787807814457e-17,-0.32733304855009177,0.10148671886706731,3.3306690738754696e-16
8.5,-3.141592653589793,-0.0419781092495184,-0.033158294210793963,0.0,-0.3109800844710019,0.08881608642635508,-3.3306690738754696e-16
8.5,-2.6179938779914944,-0.047334049208354344,-0.03808365394464631,-0.027616684135763195,-0.3978907621611697,0.11197508096800318,-1.7002531706183701
8.5,-2.0943951023931957,-0.06734540684318252,-0.0571054913640557,-0.07336671660313326,-0.5816154781421738,0.10737779123379604,-3.566335638796331
8.5,-1.5707963267948966,-0.11668819599849702,-0.10668439596846173,-0.16775090245017155,-0.6787383693682439,-2.7755575615628914e-17,-4.503448201471523
8.5,-1.0471975511965979,-0.22024032671675609,-0.2171102784110144,-0.32729806447315657,-0.5816154781421741,-0.107377791233796,-3.5663356387963323
8.5,-0.5235987755982991,-0.36268136998220085,-0.37667082940206376,-0.36592126804789255,-0.3978907621611699,-0.11197508096800321,-1.7002531706183714
8.5,0.0,-0.4334354539762447,-0.45848695722471783,0.0,-0.3109800844710019,-0.08881608642635508,0.0
8.5,0.5235987755982987,-0.3626813699822009,-0.376670829402064,0.36592126804789243,-0.3978907621611697,-0.1119750809680032,1.7002531706183697
8.5,1.0471975511965974,-0.22024032671675625,-0.21711027841101455,0.3272980644731567,-0.5816154781421738,-0.10737779123379605,3.566335638796331
8.5,1.5707963267948966,-0.11668819599849702,-0.10668439596846173,0.16775090245017155,-0.6787383693682439,-3.9898639947466563e-17,4.503448201471524
8.5,2.094395102393195,-0.06734540684318259,-0.05710549136405574,0.07336671660313339,-0.5816154781421743,0.1073777912337959,3.566335638796334
8.5,2.617993877991494,-0.04733404920835435,-0.03808365394464632,0.027616684135763257,-0.39789076216116986,0.11197508096800322,1.7002531706183721
8.5,3.141592653589793,-0.0419781092495184,-0.033158294210793963,0.0,-0.31098008447100184,0.08881608642635508,3.3306690738754696e-16
8.0,-3.141592653589793,-0.0451589536826558,-0.03644203843865891,0.0,-0.2937775043684662,0.07530333098015621,-1.6653345369377348e-16
8.0,-2.6179938779914944,-0.05102830568790616,-0.04194269558181571,-0.031997329112486976,-0.38024312978494507,0.09802181157702411,-1.5792160183705288
8.0,-2.0943951023931957,-0.07296238809990631,-0.06318718142492548,-0.08506190831152557,-0.5687108977312434,0.09840954268565662,-3.3700150025170688
8.0,-1.5707963267948966,-0.12680547675805554,-0.11828257544193133,-0.19380722037037215,-0.6701875482254706,0.0,-4.2833039313654035
8.0,-1.0471975511965979,-0.23746275211380227,-0.23841648709388852,-0.3717476527566463,-0.5687108977312435,-0.09840954268565659,-3.37001500251707
8.0,-0.5235987755982991,-0.38305546487349307,-0.4047860394536019,-0.4028855558230614,-0.3802431297849452,-0.0980218115770241,-1.5792160183705297
8.0,0.0,-0.4523581105794989,-0.48686177660655905,0.0,-0.29377750436846617,-0.07530333098015618,0.0
8.0,0.5235987755982987,-0.3830554648734932,-0.40478603945360203,0.40288555582306135,-0.38024312978494507,-0.0980218115770241,1.5792160183705284
8.0,1.0471975511965974,-0.23746275211380244,-0.23841648709388868,0.37174765275664645,-0.5687108977312434,-0.09840954268565663,3.3700150025170688
8.0,1.5707963267948966,-0.12680547675805554,-0.11828257544193133,0.19380722037037215,-0.6701875482254706,6.938893903907228e-18,4.2833039313654035
8.0,2.094395102393195,-0.07296238809990638,-0.06318718142492553,0.08506190831152569,-0.5687108977312437,0.09840954268565655,3.370015002517072
8.0,2.617993877991494,-0.05102830568790617,-0.041942695581815716,0.031997329112487025,-0.38024312978494523,0.09802181157702414,1.5792160183705302
8.0,3.141592653589793,-0.0451589536826558,-0.03644203843865891,0.0,-0.2937775043684662,0.07530333098015621,1.6653345369377348e-16
7.5,-3.141592653589793,-0.04898657243253013,-0.04046026854990505,-6.938893903907228e-18,-0.27582895265655694,0.060970922715136704,-2.7755575615628914e-16
7.5,-2.6179938779914944,-0.0554928033157371,-0.04668561662764244,-0.03762853055096039,-0.3610188804327108,0.08248723816449174,-1.4549242755761282
7.5,-2.0943951023931957,-0.07980570795568488,-0.07072478633216822,-0.10007758864473662,-0.5531137701578082,0.08751315652836758,-3.1637087252286706
7.5,-1.5707963267948966,-0.1391107174381146,-0.13264586985868632,-0.22685033149778966,-0.6587742661270375,0.0,-4.050175645455598
7.5,-1.0471975511965979,-0.25773575757748507,-0.2640838220237889,-0.42570934332978416,-0.5531137701578083,-0.08751315652836755,-3.1637087252286715
7.5,-0.5235987755982991,-0.4055355805067168,-0.4370838492933039,-0.4444559113376323,-0.36101888043271085,-0.08248723816449176,-1.4549242755761291
7.5,0.0,-0.4724543009287646,-0.5187641823002981,0.0,-0.27582895265655694,-0.06097092271513668,0.0
7.5,0.5235987755982987,-0.4055355805067169,-0.4370838492933041,0.44445591133763224,-0.36101888043271074,-0.08248723816449173,1.4549242755761278
7.5,1.0471975511965974,-0.2577357575774852,-0.26408382202378905,0.42570934332978416,-0.5531137701578082,-0.08751315652836758,3.16370872522867
7.5,1.5707963267948966,-0.1391107174381146,-0.13264586985868632,0.22685033149778966,-0.6587742661270375,-8.673617379884035e-19,4.050175645455597
7.5,2.094395102393195,-0.07980570795568495,-0.07072478633216828,0.10007758864473676,-0.5531137701578086,0.08751315652836747,3.163708725228673
7.5,2.617993877991494,-0.05549280331573711,-0.04668561662764245,0.037628530550960416,-0.36101888043271096,0.08248723816449179,1.4549242755761296
7.5,3.141592653589793,-0.04898657243253013,-0.04046026854990505,6.938893903907228e-18,-0.27582895265655694,0.06097092271513671,2.7755575615628914e-16
7.0,-3.141592653589793,-0.05370221297498645,-0.045490183143504406,-2.7755575615628914e-17,-0.25734724050874813,0.04589936076604209,-2.7755575615628914e-16
7.0,-2.6179938779914944,-0.061019853910355894,-0.052653170596125703,-0.04507088719292086,-0.340184508884872,0.06524927676759096,-1.3275016218199744
7.0,-2.0943951023931957,-0.08835069293843552,-0.08029701239646334,-0.11987837842543037,-0.5339367418056393,0.07416721360979088,-2.943856518996062
7.0,-1.5707963267948966,-0.15440257190815648,-0.1508300114358435,-0.26968109572141435,-0.6431582040029256,-2.7755575615628914e-17,-3.798115496266226
7.0,-1.0471975511965979,-0.28186795562727973,-0.2954466917023648,-0.4918126502209204,-0.5339367418056393,-0.07416721360979085,-2.9438565189960624
7.0,-0.5235987755982991,-0.4303067369391317,-0.47448160521077,-0.490816851201435,-0.34018450888487206,-0.06524927676759097,-1.327501621819975
7.0,0.0,-0.49366772956092225,-0.5549311591351402,0.0,-0.25734724050874813,-0.04589936076604209,0.0
7.0,0.5235987755982987,-0.4303067369391318,-0.47448160521077015,0.4908168512014348,-0.34018450888487195,-0.06524927676759096,1.327501621819974
7.0,1.0471975511965974,-0.28186795562727984,-0.2954466917023649,0.4918126502209206,-0.5339367418056392,-0.0741672136097909,2.943856518996062
7.0,1.5707963267948966,-0.15440257190815648,-0.1508300114358435,0.26968109572141435,-0.6431582040029254,-1.3877787807814457e-17,3.7981154962662265
7.0,2.094395102393195,-0.08835069293843559,-0.0802970123964634,0.1198783784254305,-0.5339367418056395,0.07416721360979081,2.943856518996064
7.0,2.617993877991494,-0.06101985391035591,-0.05265317059612571,0.04507088719292092,-0.34018450888487217,0.06524927676759097,1.3275016218199758
7.0,3.141592653589793,-0.05370221297498645,-0.045490183143504406,2.7755575615628914e-17,-0.2573472405087482,0.04589936076604209,2.7755575615628914e-16
6.5,-3.141592653589793,-0.05968888071646258,-0.0519669452455155,0.0,-0.238722643010362,0.030260479863711328,-3.3306690738754696e-16
6.5,-2.6179938779914944,-0.06807504911567266,-0.06038366925237412,-0.055252190978994864,-0.31784043025966996,0.04627819618607833,-1.1975685538814802
6.5,-2.0943951023931957,-0.09935294375318857,-0.0928221706142109,-0.1468592709971058,-0.5099105538785463,0.057752016656356805,-2.7053146810576987
6.5,-1.5707963267948966,-0.17389542542823036,-0.1744565825115674,-0.326624216026851,-0.6211955484394966,0.0,-3.517682949454919
6.5,-1.0471975511965979,-0.3109014564216472,-0.33435158565221657,-0.5733571569408638,-0.5099105538785464,-0.05775201665635685,-2.7053146810576996
6.5,-0.5235987755982991,-0.45747290294482235,-0.5181688959961699,-0.5416880537830921,-0.31784043025967007,-0.046278196186078355,-1.1975685538814809
6.5,0.0,-0.5158452432278693,-0.5963755528692734,0.0,-0.238722643010362,-0.03026047986371133,0.0
6.5,0.5235987755982987,-0.45747290294482246,-0.5181688959961701,0.5416880537830919,-0.3178404302596699,-0.04627819618607832,1.1975685538814802
6.5,1.0471975511965974,-0.3109014564216473,-0.33435158565221673,0.573357156940864,-0.5099105538785463,-0.05775201665635683,2.7053146810576982
6.5,1.5707963267948966,-0.17389542542823036,-0.1744565825115674,0.326624216026851,-0.6211955484394966,-1.0408340855860843e-17,3.517682949454919
6.5,2.094395102393195,-0.09935294375318865,-0.092822170614211,0.14685927099710602,-0.5099105538785467,0.05775201665635678,2.7053146810577013
6.5,2.617993877991494,-0.06807504911567266,-0.060383669252374136,0.05525219097899493,-0.31784043025967007,0.04627819618607836,1.1975685538814813
6.5,3.141592653589793,-0.05968888071646258,-0.0519669452455155,0.0,-0.238722643010362,0.03026047986371133,3.3306690738754696e-16
6.0,-3.141592653589793,-0.06759384160314769,-0.060612915726479796,-1.3877787807814457e-17,-0.22063280288615983,0.014364810804239653,-1.6653345369377348e-16
6.0,-2.6179938779914944,-0.07744703494755338,-0.07077651670688084,-0.0698053571968106,-0.29433850873852685,0.025749235973808147,-1.0666094856481716
6.0,-2.0943951023931957,-0.11408199498850342,-0.10983558219726867,-0.18515705766752694,-0.47919321789294755,0.037654186661317035,-2.440539439382251
6.0,-1.5707963267948966,-0.19949424372873906,-0.20610256076023314,-0.4045435344867274,-0.589361577593778,0.0,-3.1934704083891843
6.0,-1.0471975511965979,-0.346115192246767,-0.3833566839657314,-0.6741230257295356,-0.47919321789294766,-0.037654186661317035,-2.4405394393822517
6.0,-0.5235987755982991,-0.48694945683646196,-0.5697347527412499,-0.5958349090599894,-0.2943385087385269,-0.025749235973808154,-1.0666094856481725
6.0,0.0,-0.5386816532653507,-0.6445722322283927,0.0,-0.22063280288615986,-0.014364810804239653,0.0
6.0,0.5235987755982987,-0.48694945683646196,-0.56973475274125,0.595834909059989,-0.2943385087385268,-0.025749235973808137,1.0666094856481716
6.0,1.0471975511965974,-0.3461151922467672,-0.38335668396573164,0.6741230257295359,-0.47919321789294755,-0.037654186661317056,2.440539439382251
6.0,1.5707963267948966,-0.19949424372873906,-0.20610256076023314,0.4045435344867274,-0.589361577593778,-7.806255641895632e-18,3.193470408389184
6.0,2.094395102393195,-0.11408199498850351,-0.10983558219726877,0.18515705766752724,-0.47919321789294783,0.03765418666131703,2.440539439382253
6.0,2.617993877991494,-0.0774470349475534,-0.07077651670688086,0.06980535719681065,-0.29433850873852696,0.02574923597380815,1.0666094856481727
6.0,3.141592653589793,-0.06759384160314769,-0.060612915726479796,1.3877787807814457e-17,-0.2206328028861598,0.014364810804239656,1.6653345369377348e-16
5.5,-3.141592653589793,-0.0786024013490757,-0.0727156352634884,-1.3877787807814457e-17,-0.20421638086115207,-0.0012750271697562106,-1.6653345369377348e-16
5.5,-2.6179938779914944,-0.09058052448780685,-0.08544465227013424,-0.09183480160464502,-0.2704494810843909,0.0042514436662062505,-0.9373642447853228
5.5,-2.0943951023931957,-0.1348186238224254,-0.13407067826466673,-0.24239557188978783,-0.43907608571169865,0.01365220095596624,-2.1382925133986674
5.5,-1.5707963267948966,-0.23426038964159673,-0.24999595382484383,-0.5145060391746442,-0.5417471019235216,0.0,-2.799846916568386
5.5,-1.0471975511965979,-0.3888685917838877,-0.4459621718551989,-0.7973102087375986,-0.43907608571169876,-0.01365220095596624,-2.1382925133986683
5.5,-0.5235987755982991,-0.5182697104647314,-0.631422398965833,-0.650198269037823,-0.27044948108439093,-0.0042514436662062505,-0.9373642447853232
5.5,0.0,-0.5616444573428379,-0.701834524864128,0.0,-0.20421638086115204,0.0012750271697562071,0.0
5.5,0.5235987755982987,-0.5182697104647314,-0.6314223989658331,0.6501982690378225,-0.2704494810843908,-0.004251443666206249,0.9373642447853225
5.5,1.0471975511965974,-0.3888685917838878,-0.44596217185519904,0.7973102087375987,-0.4390760857116986,-0.013652200955966233,2.138292513398667
5.5,1.5707963267948966,-0.23426038964159673,-0.24999595382484383,0.5145060391746442,-0.5417471019235217,2.6020852139652106e-18,2.799846916568386
5.5,2.094395102393195,-0.13481862382242554,-0.13407067826466687,0.24239557188978822,-0.4390760857116989,0.013652200955966254,2.138292513398669
5.5,2.617993877991494,-0.09058052448780687,-0.08544465227013426,0.09183480160464512,-0.270449481084391,0.004251443666206259,0.9373642447853234
5.5,3.141592653589793,-0.0786024013490757,-0.0727156352634884,1.3877787807814457e-17,-0.20421638086115204,-0.0012750271697562106,1.6653345369377348e-16
5.0,-3.141592653589793,-0.09512835481278406,-0.09079541787605688,0.0,-0.19131932888948855,-0.01586480583232812,-2.220446049250313e-16
5.0,-2.6179938779914944,-0.11040693344951985,-0.10755857935861751,-0.12785255046149602,-0.24745807949431173,-0.016832300727784816,-0.8134139546985663
5.0,-2.0943951023931957,-0.16599903129453566,-0.17077008326672624,-0.3336913343583484,-0.3854941232309012,-0.01292261386279503,-1.7813712626903335
5.0,-1.5707963267948966,-0.2830882118450591,-0.3132001934721873,-0.6738502872785292,-0.46855281608013805,0.0,-2.294792543212851
5.0,-1.0471975511965979,-0.43994960732288396,-0.5268018576220466,-0.9419212792269442,-0.38549412323090126,0.012922613862795015,-1.7813712626903346
5.0,-0.5235987755982991,-0.5502739055805618,-0.706736580887779,-0.6984645017480815,-0.2474580794943118,0.01683230072778482,-0.8134139546985668
5.0,0.0,-0.5838923215789249,-0.7721355907549665,0.0,-0.19131932888948855,0.01586480583232812,0.0
5.0,0.5235987755982987,-0.5502739055805619,-0.7067365808877791,0.6984645017480811,-0.24745807949431167,0.016832300727784816,0.813413954698566
5.0,1.0471975511965974,-0.439949607322884,-0.5268018576220468,0.9419212792269445,-0.3854941232309012,0.012922613862795024,1.7813712626903335
5.0,1.5707963267948966,-0.2830882118450591,-0.3132001934721873,0.6738502872785292,-0.46855281608013805,4.336808689942018e-18,2.294792543212851
5.0,2.094395102393195,-0.1659990312945358,-0.17077008326672638,0.3336913343583489,-0.38549412323090143,-0.01292261386279502,1.7813712626903353
5.0,2.617993877991494,-0.1104069334495199,-0.10755857935861757,0.12785255046149613,-0.2474580794943118,-0.016832300727784827,0.8134139546985671
5.0,3.141592653589793,-0.09512835481278406,-0.09079541787605688,0.0,-0.19131932888948855,-0.01586480583232812,2.220446049250313e-16
